"id","codigo","descripcion","seleccionable","created_at","updated_at"
"1",NULL,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA","0","2025-07-30 14:37:34","2025-07-30 14:37:34"
"2",NULL,"PRODUCCIÓN AGRÍCOLA, PECUARIA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS","0","2025-07-30 14:37:34","2025-07-30 14:37:34"
"3","01111","Cultivo de cereales excepto arroz y para forrajes","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"4","01112","Cultivo de legumbres","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"5","01113","Cultivo de semillas oleaginosas","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"6","01114","Cultivo de plantas para la preparación de semillas","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"7","01119","Cultivo de otros cereales excepto arroz y forrajeros n.c.p.","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"8","01120","Cultivo de arroz","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"9","01131","Cultivo de raíces y tubérculos","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"10","01132","Cultivo de brotes, bulbos, vegetales tubérculos y cultivos similares","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"11","01133","Cultivo hortícola de fruto","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"12","01134","Cultivo de hortalizas de hoja y otras hortalizas ncp","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"13","01140","Cultivo de caña de azúcar","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"14","01150","Cultivo de tabaco","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"15","01161","Cultivo de algodón","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"16","01162","Cultivo de fibras vegetales excepto algodón","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"17","01191","Cultivo de plantas no perennes para la producción de semillas y flores","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"18","01192","Cultivo de cereales y pastos para la alimentación animal","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"19","01199","Producción de cultivos no estacionales ncp","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"20","01220","Cultivo de frutas tropicales","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"21","01230","Cultivo de cítricos","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"22","01240","Cultivo de frutas de pepita y hueso","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"23","01251","Cultivo de frutas ncp","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"24","01252","Cultivo de otras frutos y nueces de árboles y arbustos","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"25","01260","Cultivo de frutos oleaginosos","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"26","01271","Cultivo de café","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"27","01272","Cultivo de plantas para la elaboración de bebidas excepto café","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"28","01281","Cultivo de especias y aromáticas","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"29","01282","Cultivo de plantas para la obtención de productos medicinales y farmacéuticos","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"30","01291","Cultivo de árboles de hule (caucho) para la obtención de látex","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"31","01292","Cultivo de plantas para la obtención de productos químicos y colorantes","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"32","01299","Producción de cultivos perennes ncp","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
"33","01300","Propagación de plantas","1","2025-07-30 14:37:34","2025-07-30 14:37:34"
